index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
128,20,0,-37.954656350848,2.229929553626095,,True,,-37.991012565084,22.813868874158374,1.1406934437079186,0.6765915464407679,,,,,,,,,,,,,,
129,20,0,-23.902570492008,14.531743427534032,,True,,-24.287685599193,241.6633783634145,12.083168918170724,1.8552635465931206,,,,,,,,,,,,,,
130,80,0,-57.348547939621,328.44725151320546,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
131,136,0,-117.553019750916,48.21046861139643,,False,,-125.716171769433,5122.455229836743,37.6651119840937,1.2129051393389656,,,,,,,,,,,,,,
132,35,0,-41.007129064686,3.3117240720266232,,True,,-41.310720914884,190.50676224759263,5.443050349931218,1.507323491178944,,,,,,,,,,,,,,
133,48,0,-68.986993067215,7.5997026472336415,,False,,-69.143018382571,97.90736357957543,2.0397367412411547,2.3599951767998317,,,,,,,,,,,,,,
134,33,0,-46.566289812891,4.537660937726158,,False,,-46.711481387027,91.10908832447477,2.7608814643780235,2.5540226207895755,,,,,,,,,,,,,,
135,40,0,-45.865239405759,55.097944161881784,,True,,-47.053809736583,745.8391431823728,18.64597857955932,1.018894452930728,,,,,,,,,,,,,,
136,7,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
137,53,0,-76.610833750737,7.360809690157596,,False,,-77.259398543905,406.98055225669,7.678878344465849,2.5711215003688674,,,,,,,,,,,,,,
138,89,0,-111.99874407584,221.4376116151935,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
139,122,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
